,Username,ChampionToPredict,TierRankName,TierRank,LadderRank,TopChamp_S2022,TopChamp_Last20,AvgK_Last20,AvgD_Last20,AvgA_Last20,PrefPosition_Last20,LastPlayedChamp,LastPlayedResult
0,Zizachs,LeBlanc,gold 4,13,"342,686",Caitlyn,Jhin,8.5,5.8,11.7,Bottom,Karthus,1
1,Muter,Akali,gold 4,13,"342,612",Shaco,Shaco,11.0,6.9,9.2,Support,Katarina,1
2,JovaniSicurella,Jayce,gold 4,13,"342,673",Jayce,Miss Fortune,7.1,6.0,7.2,Bottom,Jayce,1
3,condonn,Brand,gold 4,13,"342,643",Rumble,Brand,7.1,10.1,10.0,Support,Nasus,0
4,BaddieMcNoSkill,Caitlyn,gold 4,13,"342,639",Caitlyn,Caitlyn,7.3,8.2,7.8,Bottom,Jinx,0
5,SKT T1 Klit,Caitlyn,gold 4,13,"342,621",Vex,Rengar,12.0,7.7,11.3,Jungle,Zed,0
6,CardiacMusAttack,Garen,gold 4,13,"342,671",Garen,Garen,7.1,5.6,4.1,Top,Garen,0
7,Sodium Solid,Lissandra,gold 4,13,"342,685",Kassadin,Lissandra,5.9,5.3,7.3,Middle,Malphite,0
8,0dayexploit,Fiora,gold 4,13,"342,700",Fiora,Vex,8.7,6.0,4.7,Middle,Nasus,1
9,Smurf Likely,Ryze,gold 2,15,"223,229",Zed,Ryze,8.0,6.0,5.3,Top,Ryze,1
10,MinionMain,Akali,gold 2,15,"223,285",Akali,Sylas,6.6,5.7,5.8,Middle,Sylas,0
11,JillCopperf1,Irelia,gold 2,15,"223,241",Irelia,Irelia,7.6,8.2,6.3,Top,Warwick,0
12,Jasonx02,Ezreal,gold 2,15,"223,230",Hecarim,Hecarim,6.8,8.2,8.3,Jungle,Kai'Sa,0
13,COMETOCRABOF15,Nunu & Willump,gold 2,15,"223,202",Shaco,Sion,5.1,8.2,4.3,Top,Sion,1
14,JGtoMid,Nunu & Willump,gold 2,15,"223,241",Yone,Nunu & Willump,7.0,3.0,5.0,Middle,Yasuo,0
15,26 Jan,Caitlyn,gold 2,15,"223,257",Kai'Sa,Yone,6.6,7.0,4.1,Bottom,Yone,0
16,SavMufasa,Jarvan IV,gold 2,15,"223,266",Jarvan IV,Jarvan IV,8.3,6.1,9.9,Jungle,Zed,1
17,HT Dopey,Lux,gold 4,13,"347,062",Camille,Sion,6.1,9.1,18.5,Top,Zoe,0
18,Laser sKILLS,Xerath,gold 4,13,"347,057",Xerath,Xerath,6.3,8.6,10.5,Support,Xerath,1
19,Po Tay Toe,Riven,gold 4,13,"347,018",Twitch,Renata Glasc,6.4,7.8,8.9,Top,Blitzcrank,0
